Trading Code,Company Name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change(%),52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
LEGACYFOOT,Legacy Footwear Ltd.,61.60,61.60,3:45 PM,61.60 - 63.60,-1.2,3.27,-1.91%,50.50 - 84.40,63.60,"52,804.00",62.80,115,62.80,821.423,750.00,,130.80,Equity,10.0,1,"13,079,980",Tannery Industries,"House # 133 (Ground Floor), Lane # 01, (West Side), D.O.H.S, Baridhara, Dhaka",02-8415983,88 - 02 - 8415983,legacyfl@hotmail.com,http://www.legacyfootwearltd.com,Md. Abul Quasem,'01979977081,,legacyfl@hotmail.com
LHBL,LafargeHolcim Bangladesh Limited,66.80,66.80,3:45 PM,66.20 - 71.00,1.3,122.99,1.98%,59.70 - 107.50,68.00,"1,821,565.00",65.50,"1,928",65.50,"76,069.964","14,000.00",,"11,613.70",Equity,10.0,1,"1,161,373,500",Cement,"Nina Kabbo (Level-7), 227/A Bir Uttam Mir Shawkat Sarak, Gulshan-Tejgaon Link Road, Tejgaon, Dhaka-1208","+ 88 02 222281002, 222286393 Ext.-503 &506, +88 01713044429 (Share office)",+ 88 02 222286394,info.cs@lafargeholcim.com,http://www.lafargeholcim.com.bd,Mr. Kazi Mizanur Rahman,01713043635,"222281002, 222286393 Ext. 501",mizanur.rahman@lafargeholcim.com
LIBRAINFU,Libra Infusions Limited,951.90,951.90,3:45 PM,943.20 - 999.00,-10.5,23.43,-1.09%,"583.00 - 1,159.50",943.20,"24,462.00",962.40,670,962.40,"1,445.448",100.00,,15.02,Equity,10.0,1,"1,501,920",Pharmaceuticals & Chemicals,"I/7, Mirpur I/E (Rupnogor), Section # 2, Mirpur Dhaka - 1216.","48040254-5, 48031487, 48032812-3",+88-02-58055489,libra@libragroupbd.com,http://www.libragroupbd.com,Md. Shafiqul Islam Bhuyan,01972-482304,"48040254-5,   137",cs@libragroupbd.com
LINDEBD,Linde Bangladesh Limited,"1,425.00","1,426.80",3:45 PM,"1,414.00 - 1,435.00",12.1,7.50,0.86%,"1,340.00 - 1,979.80","1,415.00","5,281.00","1,412.90",254,"1,412.90","21,501.936",200.00,,152.18,Equity,10.0,1,"15,218,300",Fuel & Power,"285, Tejgaon I/A, Dhaka - 1208",+8802.8870322-7,+8802.8870336,info.bd@linde.com,http://www.linde.com.bd,Mr. Abu Mohammad Nisar,+8801713038837,+8802.8870322-7 (205-Extn),abu.nisar@linde.com
LOVELLO,Taufika Foods and Lovello Ice-cream PLC,38.00,37.60,3:45 PM,37.50 - 38.90,-0.1,8.46,-0.26%,29.20 - 54.00,38.80,"223,830.00",38.10,350,38.10,"3,238.500","1,000.00","10 Feb, 2021",850.00,Equity,10.0,1,"85,000,000",Food & Allied,"Plot # 80, Road # 2, Banani (chairman Bari), Level - 4A & 4B, Dhaka 1213.",02-9841286-8,02-9841289,lovello@lovello.club,http://www.taufikagroup.com,A.K.M Zakaria Hossain FCMA,01841102545,02-9841286-8,zakaria@lovello.club
LRBDL,Lub-rref (Bangladesh) Limited,35.90,35.90,3:45 PM,35.80 - 38.80,-0.6,5.60,-1.64%,30.40 - 55.30,38.80,"154,253.00",36.50,268,36.50,"5,301.375","2,500.00","09 Mar, 2021","1,452.43",Equity,10.0,1,"145,243,144",Fuel & Power,"Rupayan Trade Center, Space # 5 (7th floor), 114, Kazi Nazrul Islam Avenue, Dhaka-1000.","'02-43151995, 02-43150036",'02-43151091,info@lub-rref.com,http://www.lub-rref.com,Md. Moshihor Rahman FCS,'01977266193,"'02-43151995, 02-43150036. Ext.118",cs@lub-rref.com
LRGLOBMF1,LR Global Bangladesh Mutual Fund One,6.50,6.50,3:45 PM,6.40 - 6.60,0.1,0.38,1.56%,6.40 - 9.70,6.50,"58,143.00",6.40,28,6.40,"1,990.914",-,,"3,110.80",Mutual Fund,10.0,1,"311,080,332",Mutual Funds,"LR Global Bangladesh Asset Management Company Limited, Concord I-K Tower (4th Floor), Plot # 2,Block # CEN(A), Gulshan-2, Dhaka 1212","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",(+8802) 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
MAKSONSPIN,Maksons Spinning Mills Limited,22.20,22.20,3:45 PM,21.90 - 22.50,0,22.73,0.00%,18.50 - 35.50,22.30,"1,024,031.00",22.20,524,22.20,"5,288.762","5,000.00",,"2,382.33",Equity,10.0,1,"238,232,538",Textile,"House No. # 17, Road No. # 6, Sector # 1, Uttara , Dhaka-1230.","8933612 ,8933613",8933656,noor@maksonsgroup.com.bd,http://www.maksonsgroup.com.bd,Noor Mohammad,01841166214,"8933612 ,8933613",noor@maksonsgroup.com.bd
MALEKSPIN,Malek Spinning Mills Ltd.,26.90,26.90,3:45 PM,26.50 - 27.60,-0.1,20.23,-0.37%,24.70 - 41.40,27.40,"752,534.00",27.00,531,27.00,"5,227.200","3,000.00",,"1,936.00",Equity,10.0,1,"193,600,000",Textile,"Tower-117, 117/A, Tejgaon Industrial Area, Dhaka-1208","+8809612111177-92, +880-2-8878062, +880-2-8878065",+880-2-8878064,allabj@newasiabd.com,http://www.malekspinning.com,Syed Saiful Haque,01709998861,"+8809612111177-92 Ext.-184, +880-2-8878062, +880-2-8878065",saiful.msm@knitasia.com
MARICO,Marico Bangladesh Limited,"2,420.20","2,426.20",3:45 PM,"2,400.00 - 2,445.00",12.6,24.60,0.52%,"2,261.00 - 2,494.90","2,414.00","10,129.00","2,407.60",197,"2,407.60","75,839.400",400.00,,315.00,Equity,10.0,1,"31,500,000",Pharmaceuticals & Chemicals,"The Glass House, Floor- 06, Plot- 02, Block- SE(B), Gulshan Avenue, Dhaka- 1212","8931202, 9897180","8932322, 9897140",info@marico.com,http://marico.com/bangladesh,,,,
MATINSPINN,Matin Spinning Mills Ltd.,71.00,71.00,3:45 PM,69.40 - 71.40,1.9,53.22,2.75%,52.70 - 80.20,69.90,"754,185.00",69.10,"1,030",69.10,"6,736.559","1,500.00","08 Apr, 2014",974.90,Equity,10.0,1,"97,490,000",Textile,"Corporate office: Capital South Avenue Tower, 6th Floor, House No. 50, Road No. 3, Gulshan Avenue, Gulshan 1, Dhaka-1212.rnRegistered Office: Sardaganj, kashimpur, Gazipur, Dhaka.","+880-2-7790070-72, 02-58817735, 01955538019",+880-2-58817736,secretary@msml.dbl-group.com,http://www.matinspinning.com,"Md. Shah Alam Miah, FCS",01713365457,+880-2-58817735 Ext-226,shahalam@ho.dbl-group.com
MBL1STMF,MBL 1st Mutual Fund,6.60,6.60,3:45 PM,6.50 - 6.70,0,0.14,0.00%,6.50 - 9.80,6.70,"21,628.00",6.60,19,6.60,660.000,-,,"1,000.00",Mutual Fund,10.0,1,"100,000,000",Mutual Funds,"LR Global Bangladesh, Asset Management Company Ltd.,Concord IK Tower (4th Floor), Plot # 2, Block # CEN (A), Gulshan-2, Dhaka-1212.","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",(+8802) 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
MEGCONMILK,Meghna Condensed Milk Industries Ltd.,40.00,39.70,3:45 PM,37.60 - 40.40,2.5,15.88,6.67%,13.50 - 41.90,38.50,"403,691.00",37.50,832,37.50,600.000,800.00,,160.00,Equity,10.0,1,"16,000,000",Food & Allied,"Navana Tower, 45, Gulshan Avenue (15th floor), Flat # 16/A, Gulshan - 1, Dhaka - 1212.",9882515,9881977,info@mgoldbd.com,http://www.mgoldbd.com,,,,
MEGHNACEM,Meghna Cement Mills Ltd.,68.30,69.00,3:45 PM,68.10 - 70.00,-0.5,0.45,-0.73%,64.40 - 105.00,70.00,"6,510.00",68.80,63,68.80,"1,971.239","5,000.00",,286.52,Equity,10.0,1,"28,651,728",Cement,"Bashundhara Industrial Head Quarters-1, Plot-3 , Umme Kulsum Road, Block-G, Bashundhara R/A, Dhaka-1229.","+ 88 02 8431024-8, + 88 02 8432008-17",+ 88 02 8431236,shahriar.molla@bg.com.bd,http://www.meghnacement.com/,Md. Asaduzzaman ACS,+880 1706691243,+ 88 02 8431024-8 Extn- 6780,m.asad@bg.com.bd
MEGHNAINS,Meghna Insurance Company Limited,46.30,46.30,3:45 PM,46.30 - 46.30,-0.9,1.11,-1.91%,11.00 - 59.60,46.30,"23,884.00",47.20,251,47.20,"1,888.000","1,000.00","08 Jun, 2022",400.00,Equity,10.0,1,"40,000,000",Insurance,"Pritam Zaman Tower (4th Floor), 37/2, Purana Paltan, Dhaka-1000",88-02-41050894-8,88-02-41050902,cs@micl.com.bd,http://www.micl.com.bd,,,,
MEGHNALIFE,Meghna Life Insurance Co. Ltd.,63.00,63.60,3:45 PM,63.00 - 65.80,-0.9,0.71,-1.41%,62.30 - 127.00,64.00,"11,088.00",63.90,50,63.90,"2,463.358",600.00,,385.50,Equity,10.0,1,"38,550,200",Insurance,"11/B & 11/D, Toy Nobi Circular Road, Motijheel C/A, Dhaka-1000","9558297,  9558993, 9556204",88-02-9578113,info@meghnalife.com,http://www.meghnalife.com,Mr. Aziz Ahmed,01819-215129,47117640,mlicl.cosec@gmail.com
MEGHNAPET,Meghna Pet Industries Ltd.,39.30,39.10,3:45 PM,39.00 - 42.50,-0.4,4.45,-1.01%,14.50 - 45.00,39.70,"112,940.00",39.70,252,39.70,476.400,300.00,,120.00,Equity,10.0,1,"12,000,000",Food & Allied,"Navana Tower, 45, Gulshan Avenue (15th floor), Flat # 16/A, Gulshan - 1, Dhaka - 1212.",9882515,9881977,info@mgoldbd.com,http://www.mgoldbd.com,,,,
MERCANBANK,Mercantile Bank Ltd.,13.90,13.90,3:45 PM,13.80 - 14.00,0,6.93,0.00%,13.70 - 20.50,14.00,"499,294.00",13.90,204,13.90,"15,079.803","12,000.00",,"10,848.80",Equity,10.0,1,"1,084,877,878",Bank,"61, Dilkusha C/A,  Dhaka - 1000","02-223382295 Ext.: 520,113, 212",02-223381030 (Share Dept.),share@mblbd.com,http://www.mblbd.com,Mr. Abu Asghar G. Haruni,01713082170,"02-9559333,  02-9553892 Ext.: 209  Direct: 02-9562702",haruni@mblbd.com
MERCINS,Mercantile Insurance Co. Ltd.,31.80,31.80,3:45 PM,31.80 - 33.70,-0.5,1.31,-1.55%,31.80 - 63.00,32.30,"40,962.00",32.30,81,32.30,"1,391.980","1,000.00",,430.95,Equity,10.0,1,"43,095,360",Insurance,"Red Cresent House (1st Floor), 61, Motijheel , Commercial Area,Dhaka-1000",9557662-5,9562301,mercantileins2017@gmail.com,http://www.mercantileins.com,Abdur Rahman,01727325514,9557662-5 Ex-118,mercantileins2017@gmail.com
METROSPIN,Metro Spinning Ltd.,23.40,23.40,3:45 PM,23.40 - 24.30,-0.4,10.49,-1.68%,16.60 - 35.70,24.30,"444,759.00",23.80,305,23.80,"1,468.419","1,000.00",,616.98,Equity,10.0,1,"61,698,275",Textile,"House # 17, Road # 6, Sector # 1, Uttara, Dhaka- 1230",8933612 8933613,8933656,mozammel@maksonsgroup.com.bd,http://www.maksonsgroup.com.bd,Md. Mozzamel Hoque,01841166110,8933612 8933613,mozammel@maksonsgroup.com.bd
MHSML,Mozaffar Hossain Spinning Mills Ltd.,26.80,26.80,3:45 PM,26.80 - 27.70,-0.5,19.75,-1.83%,18.00 - 40.40,27.10,"733,659.00",27.30,318,27.30,"2,757.119","3,000.00","21 Jan, 2014","1,009.93",Equity,10.0,1,"100,993,374",Textile,"House No- 315, Road No. 4, Baridhara DOHS, Dhaka- 1206","01777-769736, 880963-9203040 Extension No.118 or 109",88-02-8415964,ilyas@simgroup-bd.com,http://www.simgroup-bd.com,Haris Alam,01708-483355,880963-9203040 Extension No. 109,haris@simgroup-bd.com
MIDASFIN,MIDAS Financing Ltd.,13.10,13.10,3:45 PM,13.00 - 13.40,0,1.10,0.00%,12.20 - 25.80,13.40,"84,241.00",13.10,104,13.10,"1,866.329","2,000.00",,"1,424.68",Equity,10.0,1,"142,467,829",Financial Institutions,"\""MIDAS Centre\"", House # 05, (Floor # 10 & 11), Road # 16 (New), Dhanmondi, Dhaka-1209",09611221055,880-2-8142085,info@mfl.com.bd,http://www.mfl.com.bd,Mr. Tanvir Hasan,01715094176,09611221055 Ext-211,secretary@mfl.com.bd
MIRACLEIND,Miracle Industries Ltd.,36.00,36.00,3:45 PM,35.00 - 36.80,0.3,83.56,0.84%,23.70 - 47.40,35.00,"2,348,317.00",35.70,"1,738",35.70,"1,257.285",500.00,,352.18,Equity,10.0,1,"35,218,057",Miscellaneous,"Plot No.: 113/B (3rd Floor), Tejgaon Industrial Area, Dhaka-1208.","8818029, 8818028",9886056,info@miraclebd.com,http://www.miracle.com.bd,Dewan Mohammad Jahidul Islam FCS,01777-709705,,cs@miraclebd.com
MIRAKHTER,Mir Akhter Hossain Limited,52.20,52.20,3:45 PM,52.00 - 53.40,0.1,3.28,0.19%,51.30 - 103.00,53.40,"62,718.00",52.10,189,52.10,"6,292.198","2,000.00","02 Feb, 2021","1,207.72",Equity,10.0,1,"120,771,547",Engineering,"Red Crescent Borak Tower, Level 07 & 10, 37/3/A, Eskaton Garden, Dhaka-1000","02-55138529, 55138533-35",02-55138530-31,info@mirakhter.net,http://www.mirakhter.net,Md. Masbaus Sunnah,01313-078620,+88 02 55138529,info@mirakhter.net
MITHUNKNIT,Mithun Knitting and Dyeing Ltd.,19.00,19.00,3:45 PM,19.00 - 19.70,-0.3,6.53,-1.55%,10.50 - 26.30,19.40,"341,152.00",19.30,349,19.30,627.079,800.00,,324.91,Equity,10.0,1,"32,491,162",Textile,"South Avenue Tower(6th Floor),House# 50, Road# 03, Gulshan-1, Dhaka-1212.","88-02-222262803, 88-02-222260264, 88-02-222260458",88-02-222262803,companysecretary.btg@gmail.com,http://www.mkdl-cepz.com.bd,Mohamad Shohel Rana,01758069252,"88-02-222262803, 88-02-222260264, 88-02-222260458",companysecretary.btg@gmail.com
MJLBD,MJL Bangladesh Limited,87.80,87.80,3:45 PM,85.50 - 89.30,0.8,1.45,0.92%,82.30 - 116.00,85.50,"16,291.00",87.00,172,87.00,"27,557.426","10,000.00",,"3,167.52",Equity,10.0,1,"316,752,027",Fuel & Power,"Corporate Off: Mobil House, CWS (A) 13/A, Gulshan Avenue, Bir Uttam Mir Shawkat Sarak, Dhaka-1212,  Share Office: House-73, Block-K, Suhrawardy Avenue, Baridhara, Dhaka-1212","+88 (02) 9849510, 01713436364",+88 (02) 9885269,enquiry@mobilbd.com,http://www.mjlbl.com,Md. Rokibul Kabir,01730336964,,rokibul.kabir@mobilbd.com
MLDYEING,M.L. Dyeing Limited,26.30,26.30,3:45 PM,25.90 - 26.90,0.4,121.79,1.54%,19.50 - 34.80,26.70,"4,604,670.00",25.90,"2,130",25.90,"6,020.043","3,100.00","17 Sep, 2018","2,324.34",Equity,10.0,1,"232,434,090",Textile,"House# 11 (Floor:6-A), Road# 12, Block# F, Niketon, Gulshan-1rnDhaka.",+88-02-48810050,+88-2-48810055,info@mldyeing.com,http://www.mldyeing.com,A. K. M. Atiqur Rahman,01714589883,"+88-02-48810050, Ext.-230",atik26mar@gmail.com
MONNOAGML,Monno Agro & General Machinery Limited,477.30,478.00,3:45 PM,476.00 - 486.00,-3.8,2.59,-0.79%,447.20 - 890.90,485.00,"5,397.00",481.10,97,481.10,"1,314.558","1,000.00",,27.32,Equity,10.0,1,"2,732,400",Engineering,"Head Office: Islampur, Dhamrai, Dhaka-1350, BangladeshrnrnShare Office: 9, Wyre Street, Wari, Dhaka-1203.","9559359, 47110387",,share@monno-group.com,http://www.monno-group.com,Benoy Paul ACS,01755559168,"47110387, 9559359",share@monno-group.com
MONNOCERA,Monno Ceramic Industries Ltd.,100.30,100.30,3:45 PM,99.30 - 103.50,-1,10.79,-0.99%,94.20 - 182.00,101.80,"107,341.00",101.30,647,101.30,"3,821.473","1,000.00",,377.24,Equity,10.0,1,"37,724,317",Ceramics Sector,"Head Office: Islampur, Dhamrai, Dhaka-1350, BangladeshrnrnShare Office:9, Wyre Street, Wari, Dhaka-1203.","9559359, 47110387",,share@monno-group.com,http://www.monno-group.com,Nasir Uddin ACS,'01720979628,"9559359, 47110387",share@monno-group.com
MONNOFABR,Monno Fabrics Limited,23.50,23.50,3:45 PM,23.50 - 24.50,-0.4,29.85,-1.67%,17.10 - 32.60,24.10,"1,259,470.00",23.90,860,23.90,"2,748.500","5,000.00","13 Jun, 2021","1,150.00",Equity,10.0,1,"115,000,000",Textile,"9, Wyer Street, Wari, Dhaka-1203.","47123449, 47110387",,share@monno.com; benoypaul2019@gmail.com,http://www.monno-group.com,Mr. Jishan Ahmed Siddiquee,01313 355510,"'02 2233 85488, 02 2233 82185",jishan.ahmed@monno-fabrics.com
MONOSPOOL,Bangladesh Monospool Paper Manufacturing Co. Limited,153.10,153.10,3:45 PM,153.00 - 159.00,-3,8.30,-1.92%,133.10 - 275.00,159.00,"54,105.00",156.10,390,156.10,"1,465.596",500.00,"13 Jun, 2021",93.89,Equity,10.0,1,"9,388,825",Paper & Printing,"Plot # 314/A, Road # 18, Bashundhara Residential Area, Dhaka-1229.",+880-2-8401883-7,+880-2-8401887,secretary@bdg.com.bd,https://mpmc.com.bd,Md. Mustafizur Rahman,'01847091027,"+880-2-8401883-6, Ext-702",secretary@bdg.com.bd
MPETROLEUM,Meghna Petroleum Limited,201.00,200.60,3:45 PM,198.50 - 202.50,1.1,2.95,0.55%,184.50 - 221.00,202.50,"14,749.00",199.90,103,199.90,"21,632.400","4,000.00",,"1,082.16",Equity,10.0,1,"108,216,108",Fuel & Power,"58, Agrabad C/A, Chattogram.",031-711897  Ext: 326,031-2514662,md@mpl.gov.bd,http://www.mpl.gov.bd,Reza Md. Riazuddin,o1959-929001,031-711891-7 Ext: 332,rezaujjal@gmail.com
MTB,Mutual Trust Bank Ltd.,16.80,16.90,3:45 PM,16.80 - 17.00,0,0.17,0.00%,16.60 - 22.20,17.00,"10,353.00",16.80,25,16.80,"13,649.927","10,000.00",,"8,124.96",Equity,10.0,1,"812,495,660",Bank,"MTB Centre, 26, Gulshan Avenue, Plot 5, Block SE(D), Gulshan 1, Dhaka-1212","880(2) 48321215, 880(2) 9846966",880(2) 9844303,info@mutualtrustbank.com,http://www.mutualtrustbank.com,Malik Muntasir Reza,01730441914,880(2)9895965,mm.reza@mutualtrustbank.com
NAHEEACP,Nahee Aluminum Composite Panel Ltd.,65.70,65.70,3:45 PM,63.30 - 65.90,1.7,13.10,2.66%,37.80 - 75.90,63.30,"201,763.00",64.00,370,64.00,"4,375.050","1,200.00","24 Dec, 2017",683.60,Equity,10.0,1,"68,360,160",Engineering,"House. 26, Road. 3, Block. I, Banani, Dhaka-1213.","01777763460, 88-02-9871410, 9871402, 9872183",88-02-9870824,"pinto@nahee.com.bd, jahurul@nahee.com.bd, patrick@nahee.com.bd",http://www.nahee.com.bd,Mohammad Jahurul Islam Sheikh,01730097865,"88-02-9871410, 9871402, 9872183 Ext-208",jahurul@nahee.com.bd
NATLIFEINS,National Life Insurance Company Ltd.,181.60,181.60,3:45 PM,181.60 - 184.70,-3.7,0.32,-2.00%,120.10 - 261.00,184.70,"1,778.00",185.30,31,185.30,"20,109.123","2,000.00",,"1,085.22",Equity,10.0,1,"108,521,981",Insurance,"NLI TOWER, 54-55, Kazi Nazrul Islam Avenue,Karwan Bazar, Dhaka-1215","58151271, 58151089, 58151490, 02-9115906",88-02-8144237,info@nlibd.com,http://www.nlibd.com,Md. Abdul Wahab Mian,01713-192399,02-9115906,info@nlibd.com
NAVANACNG,Navana CNG Limited,27.00,27.00,3:45 PM,26.90 - 27.80,0,0.31,0.00%,26.20 - 43.70,27.80,"11,329.00",27.00,59,27.00,"1,942.786","1,500.00",,719.55,Equity,10.0,1,"71,955,021",Engineering,"Corporate Office: 205-207, Tejgaon I/A, Dhaka- 1208",+8802 223381812,+8802 223383224,share@navanacng.com,http://www.navanacng.com,Mr. Nafis Ahmed,01811448104,,nafis_cs@navanacng.com
NBL,National Bank Ltd.,8.30,8.30,3:45 PM,8.10 - 8.40,0.1,54.52,1.22%,7.10 - 9.20,8.20,"6,618,922.00",8.20,491,8.20,"26,401.864","50,000.00",,"32,197.40",Equity,10.0,1,"3,219,739,571",Bank,"116/1, Kazi Nazrul Islam Avenue, Banglamotor, Ramna, Dhaka",+88-02-41032461-63,"88-02-9563953, 9569404",board.sect@nblbd.com,http://www.nblbd.com,Md. Kaiser Rashid,+8801701215273,+880-2-41032411,board.sect@nblbd.com
NCCBANK,National Credit and Commerce Bank Ltd.,14.00,14.00,3:45 PM,14.00 - 14.20,-0.2,2.97,-1.41%,13.60 - 17.90,14.10,"212,279.00",14.20,114,14.20,"14,439.568","20,000.00","28 May, 2000","10,168.70",Equity,10.0,1,"1,016,870,967",Bank,"NCC Bank Bhabanrn(5th Floor) 13/1 & 13/2 Toyenbee Circular RoadrnMotijheel C/A, Dhaka-1000","880-2-223381901, 223381903-4, 223383981-3",880-2-223386290,boarddivision@nccbank.com.bd,http://www.nccbank.com.bd,"Md. Monirul Alam, FCS","01707073444, 01711594510","880-2-223381085, 01865430334",monirul.alam@nccbank.com.bd
NCCBLMF1,NCCBL Mutual Fund-1,6.90,7.00,3:45 PM,6.90 - 7.00,0,0.14,0.00%,6.70 - 9.40,7.00,"20,070.00",6.90,7,6.90,748.673,-,,"1,085.03",Mutual Fund,10.0,1,"108,503,401",Mutual Funds,"Head Office: LR Global Bangladesh Asset Management Company Ltd., Concord IK Tower(4th Flr), Plot # 2, Block # CEN(A), Gulshan - 2, Dhaka-1212.","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",(+8802) 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
NEWLINE,New Line Clothings Limited,46.20,46.20,3:45 PM,42.00 - 46.40,3.4,1.12,7.94%,27.20 - 49.40,46.40,"24,330.00",42.80,17,42.80,"3,361.197","1,000.00","27 May, 2019",785.33,Equity,10.0,1,"78,532,650",Textile,"Rain Drops, Flat # B3, House # 3, Road # 35rnSector # 7, Uttara, Dhaka-1230.","8802-48964983, 8802- 9297403, 8802-9297415, 8802-9297417",8802-9297405,info@newline.com.bd,http://www.newline.com.bd,Md. Mozammel Hossain,8801712022151,"8802- 9297403, 8802-9297415, 8802-9297417",mhossain.nlcl@gmail.com
NFML,National Feed Mill Limited,17.10,17.10,3:45 PM,17.00 - 17.60,0,3.88,0.00%,15.80 - 36.00,17.60,"226,183.00",17.10,253,17.10,"1,596.479","2,000.00","19 Jan, 2015",933.61,Equity,10.0,1,"93,361,325",Miscellaneous,"ABC North Ridge, Apartment # A/5, (5th Floor) House # 51, Road # 15rnSector-03, Uttara, Dhaka-1230",02-48950746,02-58955257,General@nationalgroup-bd.com,http://www.nationalgroup-bd.com,Md. Arifur Rahman,01730066275,02-48950746,General@nationalgroup-bd.com
NHFIL,National Housing Fin. and Inv. Ltd.,41.90,41.90,3:45 PM,41.80 - 43.90,-0.7,16.94,-1.64%,40.50 - 94.20,43.80,"398,628.00",42.60,512,42.60,"4,985.529","2,000.00",,"1,170.31",Equity,10.0,1,"117,031,200",Financial Institutions,"Concord Baksh Tower (7th floor), Plot- 11-A, Road- 48, Gulshan- 2, Dhaka-1212.","09609200555, 02-9670612-4, 9677181-2.",02-58811652,cs@nationalhousingbd.com,http://www.nationalhousingbd.com,"Md. Sarwar Kamal, FCS",01787-661913,096090200555 (Ext.-104),sarwar@nationalhousingbd.com/ cs@nationalhousingbd.com
NITOLINS,Nitol Insurance Co. Ltd.,42.10,42.30,3:45 PM,41.90 - 43.90,-0.5,0.51,-1.17%,41.00 - 70.80,42.00,"11,958.00",42.60,14,42.60,"1,712.845",500.00,,402.08,Equity,10.0,1,"40,207,639",Insurance,"Police Plaza Concord, Tower - 2 (6th Floor), Plot - 2, Road - 144, Gulshan-1, Dhaka-1212",02-55045202-05,02-55045206,info@nitolinsurance.com,http://www.nitolinsurance.com,Md. Shakhawat Hossain,01713142754,"02-55045202-05, (Ext-107)",shakhawat_cs@nitolinsurance.com
NORTHERN,Northern Jute Manufacturing Co. Ltd.,236.50,236.50,3:45 PM,235.40 - 248.00,-3.2,1.06,-1.34%,217.00 - 430.00,248.00,"4,490.00",239.70,124,239.70,513.437,100.00,,21.42,Equity,10.0,1,"2,142,000",Jute,"DH Tower, 06 Panthapath, Kawran Bazar, Dhaka-1215","02-55013506, 071-61884-85",nil,info@northernjute.com,http://www.northernjute.com,Shahadat Hossain Patwary,01713755517,"55013506, Ext-133",cs@northernjute.com
NORTHRNINS,Northern Islami Insurance Limited,40.40,40.30,3:45 PM,40.30 - 42.90,-0.7,0.47,-1.70%,39.90 - 64.90,42.90,"11,688.00",41.10,50,41.10,"1,753.310","1,000.00",,426.60,Equity,10.0,1,"42,659,611",Insurance,"W.W.Tower (Level# 12 & 13), 68,Motijheel C/A, Dhaka-1000, Bangladesh.","9559077-79, 47113043","88-02-9551579, 47113724","info@niil.com.bd, share@niil.com.bd",http://www.niil.com.bd,M.H. Galib,01919279817,9570215,share@niil.com.bd
NPOLYMER,National Polymer Industries Ltd.,51.00,51.00,3:45 PM,50.80 - 53.30,-0.7,17.04,-1.35%,48.50 - 72.10,53.30,"331,617.00",51.70,558,51.70,"3,773.256","3,000.00",,729.84,Equity,10.0,1,"72,983,668",Engineering,"NPOLY HOUSE, GA-99/3, Progati Shoroni, Middle Badda, Dhaka-1212.","+8802-58812926, 58813039",+880258814967,info@nationalpolymer.net,http://www.nationalpolymer.net,Md. Abdul Maleque,01970303879,"58812926, 58813039, 58813049,  Ext.144",maleque@nationalpolymer.net
NRBCBANK,NRB Commercial Bank Limited,18.20,18.20,3:45 PM,18.10 - 18.70,-0.2,10.98,-1.09%,18.10 - 40.80,18.50,"598,614.00",18.40,335,18.40,"13,572.628","10,000.00","22 Mar, 2021","7,376.43",Equity,10.0,1,"737,642,847",Bank,"114, Motijheel C/A, Dhaka-1000",02223353422-30,02-9573421,share@nrbcommercialbank.com,http://www.nrbcommercialbank.com,Md. Reaz Uddin Asif,01955502073,"02223353422-30, Ext. 105",reaz.asif@nrbcommercialbank.com
NTC,National Tea Company Ltd.,621.70,621.70,3:45 PM,618.00 - 645.00,-7.3,1.11,-1.16%,500.00 - 945.00,645.00,"1,782.00",629.00,93,629.00,"4,151.400",250.00,,66.00,Equity,10.0,1,"6,600,000",Food & Allied,"BGIC TOWER (7th Floor), 34, Topkhana Road, Dhaka-1000.",9515929,9576395,admin@ntclbd.org,http://www.ntclbd.org,A.K. Azad Chowdhury,01815726244,9515929,csi@ntclbd.org
NTLTUBES,National Tubes Limited,81.50,81.80,3:45 PM,81.50 - 86.90,-1.6,9.51,-1.93%,72.20 - 129.90,86.90,"116,003.00",83.10,529,83.10,"2,893.692","1,000.00",,348.22,Equity,10.0,1,"34,821,803",Engineering,"131-142 Tongi I/A, Gazipur, Dhaka","9812783,  9810134,9812786, 9812782, 9812781",,ntl.bsec.bd@gmail.com,http://www.ntl.gov.bd,Pranjit Paul,01854794095,02-9812782,pranjitpaul77@gmail.com
